posting_id,title,company,location,salary_raw,date_posted_raw,remote,seniority
945,Data Scientist,Northwind Analytics,Glasgow,,29 Jun 2025,No,Graduate
5,Machine Learning Engineer,Fenwick Insurance,Sheffield,Competitive salary,05/03/2025,Yes,Junior
1012,Junior Data Scientist,Vantage Health,Liverpool,,30 Jul 2025,Yes,Junior
418,Data Scientist,Alderly Bank,Leeds,"£28,000 - £35,000",2025-08-22,Hybrid,Junior
804,Business Intelligence Analyst,Alderly Bank,Liverpool,Competitive salary,12 Mar 2026,,Junior
1490,Data Scientist,Fenwick Insurance,Remote (UK),"£55,000 - £75,000",2025-02-23,Hybrid,
1135,Data Analyst,Marlowe Consulting,Sheffield,£75k-£95k,01 Oct 2025,No,Senior
709,Data Science Intern,Orchard Media,Leeds,Competitive salary,11/01/2026,Yes,Mid
712,Business Intelligence Analyst,Solstice Energy,Work from home,"£28,000 - £35,000",15 Apr 2026,N/A,Graduate
1046,Data Engineer,Kestrel Logistics,Glasgow,£55k-£75k,14 May 2025,,Senior
1189,Junior Data Scientist,Vantage Health,Birmingham,"£85,000",2025-02-15,No,Senior
1238,Data Engineer,BrightPath Retail,Leeds,"£85,000",2025-03-04,Hybrid,Senior
1082,Data Scientist II,Grove & Co,Edinburgh,£55k-£75k,2025-01-18,No,Mid
1356,Data Engineer,Orchard Media,Sheffield,"£31,500",24/06/2025,Yes,Graduate
607,Insights Analyst,Kestrel Logistics,Leeds,Competitive salary,24 Jul 2025,No,Senior
515,Data Scientist II,Orchard Media,Edinburgh,Competitive salary,04 Jan 2025,No,
1701,,,,,,,
436,Machine Learning Engineer,Ashford Digital,Birmingham,£40k-£55k,10 Jun 2025,Yes,
665,Data Science Intern,Ashford Digital,Greater London,Competitive salary,2025-10-02,No,Senior
1308,Junior Data Scientist,Fenwick Insurance,"Manchester, UK",£55k-£75k,23 Nov 2025,yes,
443,Data Engineer,Kestrel Logistics,Birmingham,"£28,000 - £35,000",07 Jul 2025,N/A,Junior
558,Data Science Intern,BrightPath Retail,Birmingham,,06 Mar 2026,Yes,Mid
720,Data Scientist,Orchard Media,Work from home,"£31,500",02/04/2025,Yes,Junior
182,Analytics Consultant,Redbridge Telecom,London,£36k-£43k,2026-03-04,yes,Junior
151,Business Intelligence Analyst,Kestrel Logistics,Liverpool,"£75,000 - £95,000",26 May 2025,N/A,Senior
102,Data Science Intern,BrightPath Retail,Leeds,£32k-£42k,13 Sep 2025,Hybrid,
772,Junior Data Scientist,Ashford Digital,Liverpool,£40k-£55k,2025-03-24,Yes,Mid
578,Data Engineer,Fenwick Insurance,london,£36k-£43k,2026-05-13,Hybrid,Junior
533,Data Science Intern,Fenwick Insurance,Liverpool,"£55,000 - £75,000",2026-02-16,No,Mid
1254,Data Engineer,Solstice Energy,remote,"£37,000",17 Apr 2025,yes,
249,Insights Analyst,Kestrel Logistics,Leeds,,18 Jan 2026,Hybrid,
1244,Junior Data Scientist,Orchard Media,Greater London,"£39,500",2025-11-27,Yes,Graduate
928,Data Science Intern,Solstice Energy,Sheffield,"£37,000",05/02/2026,,Graduate
913,Data Science Intern,Solstice Energy,Leeds,£75k-£95k,28/03/2026,Yes,Senior
1186,Junior Data Scientist,Ashford Digital,Birmingham,"£47,500",29/05/2025,yes,
357,Data Analyst,Kestrel Logistics,Liverpool,£28k-£35k,24/01/2025,Hybrid,Junior
53,Junior Data Scientist,Grove & Co,manchester,"£28,000 - £35,000",2026-02-24,N/A,Graduate
1558,Insights Analyst,Orchard Media,Glasgow,Competitive salary,2025-08-14,N/A,
1485,Data Engineer,Alderly Bank,Glasgow,"£85,000",2025-02-03,No,Senior
1221,Data Scientist,Orchard Media,Greater London,Competitive salary,29 Dec 2025,Yes,Mid
89,Data Analyst,Alderly Bank,Leeds,£28k-£35k,02/01/2025,,Graduate
302,Data Analyst,Redbridge Telecom,Leeds,,28 Apr 2026,No,Graduate
1442,Business Intelligence Analyst,Redbridge Telecom,Remote (UK),Competitive salary,27/03/2025,yes,Junior
1578,Insights Analyst,Solstice Energy,Leeds,,15 Oct 2025,yes,Senior
1273,Junior Data Scientist,Orchard Media,Leeds,"£75,000 - £95,000",06 May 2025,N/A,Senior
1599,Insights Analyst,Solstice Energy,Glasgow,"£28,000 - £35,000",14/10/2025,yes,Junior
227,Analytics Consultant,Ashford Digital,Sheffield,"£37,000",19 Jun 2025,Yes,
1128,Business Intelligence Analyst,Ashford Digital,Leeds,,01 Feb 2025,,Senior
836,Data Analyst,Alderly Bank,Leeds,,06 Sep 2025,,Mid
1502,Data Engineer,Fenwick Insurance,"London, UK",Competitive salary,04/02/2025,yes,Junior
619,Data Analyst,Ashford Digital,london,"£39,500",08/01/2025,N/A,Graduate
57,Analytics Consultant,Alderly Bank,Glasgow,Competitive salary,2025-08-17,N/A,
429,Data Science Intern,Ashford Digital,Greater London,"£39,500",07 Jan 2026,No,Graduate
1113,Insights Analyst,Orchard Media,Leeds,,02 Apr 2026,,Graduate
1314,Data Scientist II,Vantage Health,Manchester,"£40,000 - £55,000",04 Nov 2025,Hybrid,
248,Analytics Consultant,Vantage Health,Birmingham,"£28,000 - £35,000",24/11/2025,Hybrid,Graduate
435,Data Scientist,Alderly Bank,Birmingham,Competitive salary,03/04/2026,No,Senior
1072,Junior Data Scientist,Marlowe Consulting,Sheffield,"£32,000 - £42,000",03/10/2025,Hybrid,Junior
1545,Insights Analyst,Northwind Analytics,Birmingham,"£55,000 - £75,000",01 Feb 2025,No,Mid
672,Data Science Intern,Ashford Digital,Liverpool,"£28,000 - £35,000",18 Dec 2025,Yes,Junior
1180,Data Analyst,Kestrel Logistics,Sheffield,Competitive salary,14 Apr 2025,Yes,Senior
439,Data Engineer,Ashford Digital,Edinburgh,"£75,000 - £95,000",2025-12-13,N/A,Senior
452,Business Intelligence Analyst,Fenwick Insurance,Edinburgh,"£28,000 - £35,000",2025-01-05,N/A,Junior
284,Data Scientist II,Solstice Energy,London,,09/03/2026,N/A,Mid
1330,Insights Analyst,Solstice Energy,Bristol,Competitive salary,29/04/2025,N/A,Mid
1047,Junior Data Scientist,Vantage Health,Leeds,"£28,000 - £35,000",26 Nov 2025,,Junior
1129,Data Scientist,Vantage Health,manchester,"£85,000",31/12/2025,No,Senior
681,Analytics Consultant,Solstice Energy,Leeds,"£47,500",2025-07-20,N/A,Mid
1023,Data Analyst,Fenwick Insurance,Edinburgh,Competitive salary,22/07/2025,Yes,Graduate
1315,Data Scientist,Kestrel Logistics,Bristol,"£40,000 - £55,000",2026-03-23,Hybrid,
39,Data Scientist,Northwind Analytics,Edinburgh,,10 Oct 2025,,Senior
118,Business Intelligence Analyst,Ashford Digital,Bristol,"£40,000 - £55,000",17 Oct 2025,N/A,
433,Business Intelligence Analyst,Redbridge Telecom,Bristol,"£32,000 - £42,000",20 Mar 2026,yes,Junior
571,Business Intelligence Analyst,Fenwick Insurance,Glasgow,"£37,000",07/07/2025,Hybrid,Junior
737,Insights Analyst,Alderly Bank,Edinburgh,£28k-£35k,23/01/2026,No,Junior
1461,Data Scientist II,Vantage Health,Birmingham,"£75,000 - £95,000",17/08/2025,Hybrid,Senior
226,Junior Data Scientist,Orchard Media,Sheffield,Competitive salary,01 Mar 2026,yes,Graduate
1583,Business Intelligence Analyst,Orchard Media,"London, UK","£93,000",2025-06-30,Hybrid,Senior
683,Analytics Consultant,Alderly Bank,Bristol,Competitive salary,22/02/2025,N/A,Graduate
101,Analytics Consultant,BrightPath Retail,Greater London,"£55,500",2025-10-10,yes,Mid
676,Data Scientist II,BrightPath Retail,Leeds,"£31,500",14 Mar 2025,Hybrid,Graduate
238,Data Engineer,Northwind Analytics,Liverpool,"£32,000 - £42,000",31/07/2025,N/A,Mid
1443,Data Scientist II,Kestrel Logistics,Sheffield,"£40,000 - £55,000",2026-05-12,Hybrid,Mid
775,Business Intelligence Analyst,BrightPath Retail,"London, UK",,21/04/2026,No,
632,Insights Analyst,Alderly Bank,Edinburgh,£28k-£35k,2025-06-12,N/A,Graduate
1038,Insights Analyst,Solstice Energy,Leeds,"£37,000",23/07/2025,No,
776,Data Scientist,Ashford Digital,Liverpool,"£85,000",12 May 2026,N/A,Senior
914,Data Scientist,Marlowe Consulting,Edinburgh,£40k-£55k,17 Feb 2025,yes,Mid
77,Data Scientist,Marlowe Consulting,Leeds,,2025-10-12,N/A,Mid
38,Machine Learning Engineer,Kestrel Logistics,Bristol,"£55,000 - £75,000",21/11/2025,Hybrid,Senior
1518,Data Science Intern,Northwind Analytics,Remote,£40k-£55k,15/05/2026,Hybrid,
447,Data Science Intern,BrightPath Retail,Liverpool,"£55,000 - £75,000",2025-09-12,yes,Senior
466,Data Scientist,Fenwick Insurance,Edinburgh,"£28,000 - £35,000",2025-01-24,,Graduate
274,Machine Learning Engineer,Fenwick Insurance,Remote,£28k-£35k,09/01/2025,yes,Graduate
1017,Junior Data Scientist,Alderly Bank,Greater London,"£39,500",05 Mar 2025,N/A,Junior
1531,Insights Analyst,Solstice Energy,Sheffield,"£37,000",27/08/2025,N/A,Junior
1491,Insights Analyst,BrightPath Retail,Birmingham,£40k-£55k,2026-04-13,,
1142,Data Analyst,Alderly Bank,Leeds,"£31,500",21 Jan 2025,No,Graduate
938,Junior Data Scientist,Northwind Analytics,Sheffield,"£32,000 - £42,000",02/06/2025,Yes,Mid
724,Junior Data Scientist,Ashford Digital,Edinburgh,Competitive salary,29/12/2025,,Graduate
115,Data Engineer,Solstice Energy,Bristol,,07/04/2026,N/A,Senior
818,Data Science Intern,Solstice Energy,Glasgow,Competitive salary,04/12/2025,N/A,Junior
266,Data Science Intern,Marlowe Consulting,Edinburgh,"£47,500",2025-07-12,yes,
552,Data Engineer,Orchard Media,Sheffield,Competitive salary,18/03/2026,No,Senior
826,Insights Analyst,Northwind Analytics,Edinburgh,"£37,000",2025-10-21,,Graduate
1092,Data Scientist II,Solstice Energy,Birmingham,Competitive salary,03 Oct 2025,No,Senior
685,Insights Analyst,Kestrel Logistics,Liverpool,"£55,000 - £75,000",2025-06-24,N/A,
400,Analytics Consultant,Alderly Bank,LONDON,"£40,000 - £50,000",31 May 2025,N/A,Junior
1468,Data Engineer,Orchard Media,Bristol,Competitive salary,2025-07-24,N/A,Senior
1451,Insights Analyst,Redbridge Telecom,Remote,,2025-04-07,No,Mid
1056,Data Analyst,Northwind Analytics,LONDON,"£36,000 - £43,000",19 Apr 2025,Yes,Junior
162,Machine Learning Engineer,Grove & Co,Edinburgh,,15 Aug 2025,Hybrid,
1362,Junior Data Scientist,Ashford Digital,Birmingham,Competitive salary,31/10/2025,N/A,Mid
974,Analytics Consultant,Ashford Digital,Glasgow,Competitive salary,03/06/2025,Hybrid,Graduate
1410,Data Scientist II,Marlowe Consulting,Leeds,"£28,000 - £35,000",2026-01-10,Hybrid,Graduate
1296,Insights Analyst,BrightPath Retail,remote,£28k-£35k,24 Feb 2026,N/A,Junior
1462,Data Scientist,Redbridge Telecom,manchester,£32k-£42k,2025-03-31,yes,Junior
877,Data Science Intern,Ashford Digital,Bristol,"£65,000",2025-09-20,,Senior
1388,Data Scientist II,Orchard Media,Glasgow,"£47,500",2025-01-13,N/A,Mid
112,Data Analyst,Solstice Energy,Birmingham,"£31,500",2026-02-12,Hybrid,Junior
770,Data Scientist II,Marlowe Consulting,Glasgow,"£85,000",29/03/2025,No,Senior
534,Analytics Consultant,Redbridge Telecom,Remote,£28k-£35k,2025-07-09,yes,Junior
1692,,,,,,,
861,Data Scientist,Fenwick Insurance,Leeds,"£55,000 - £75,000",10 May 2025,yes,Senior
1075,Analytics Consultant,Grove & Co,Leeds,"£75,000 - £95,000",19/02/2026,No,Senior
545,Data Science Intern,Grove & Co,Edinburgh,,10/06/2025,No,Graduate
812,Data Engineer,Orchard Media,Glasgow,,02/07/2025,N/A,Graduate
990,Junior Data Scientist,BrightPath Retail,Bristol,£28k-£35k,2025-10-26,,Graduate
624,Machine Learning Engineer,BrightPath Retail,LONDON,,18 Sep 2025,Yes,
1131,Business Intelligence Analyst,Redbridge Telecom,manchester,,06/07/2025,Hybrid,Mid
502,Data Analyst,Vantage Health,Sheffield,,19/08/2025,yes,Mid
94,Data Analyst,Redbridge Telecom,"London, UK","£83,000 - £103,000",2025-02-16,N/A,Senior
128,Data Scientist II,Orchard Media,Sheffield,,12/11/2025,Hybrid,
1580,Insights Analyst,BrightPath Retail,Manchester,,03 Jan 2026,Yes,Senior
936,Data Scientist,Marlowe Consulting,Edinburgh,"£55,000 - £75,000",20 Feb 2025,No,Senior
1224,Data Scientist,Grove & Co,Sheffield,Competitive salary,2025-03-04,No,Junior
1013,Machine Learning Engineer,BrightPath Retail,"Manchester, UK",,26/03/2025,No,Senior
980,Junior Data Scientist,Kestrel Logistics,london,"£63,000 - £83,000",02 Mar 2026,No,Senior
1366,Data Analyst,Fenwick Insurance,Bristol,"£31,500",07/09/2025,No,Junior
265,Junior Data Scientist,Grove & Co,Remote (UK),"£37,000",28 Apr 2026,N/A,
736,Data Science Intern,Fenwick Insurance,"Manchester, UK","£31,500",2026-03-05,Yes,Graduate
581,Data Scientist,Vantage Health,Remote,£32k-£42k,09/04/2025,,Graduate
275,Insights Analyst,Redbridge Telecom,Work from home,"£47,500",28/04/2025,yes,Mid
1411,Junior Data Scientist,Vantage Health,Sheffield,"£65,000",22 Oct 2025,yes,Mid
690,Junior Data Scientist,Grove & Co,Birmingham,,12 Nov 2025,,Graduate
59,Business Intelligence Analyst,Kestrel Logistics,Bristol,£55k-£75k,2025-03-19,,Senior
842,Business Intelligence Analyst,Solstice Energy,Work from home,,01/10/2025,N/A,Graduate
1010,Machine Learning Engineer,Ashford Digital,Bristol,,2025-05-08,yes,Graduate
703,Data Scientist,Solstice Energy,Glasgow,,30/06/2025,Hybrid,Graduate
1704,,,,,,,
1199,Machine Learning Engineer,Orchard Media,Glasgow,"£28,000 - £35,000",03 May 2026,,Junior
262,Data Scientist,Kestrel Logistics,"London, UK",Competitive salary,2025-04-22,No,
1235,Insights Analyst,BrightPath Retail,Sheffield,Competitive salary,30/06/2025,N/A,
1202,Business Intelligence Analyst,Alderly Bank,Leeds,,02 Oct 2025,No,
1174,Data Scientist,Vantage Health,Manchester,Competitive salary,2026-01-20,yes,Junior
1533,Data Science Intern,Northwind Analytics,Remote (UK),Competitive salary,01/03/2026,Yes,Senior
998,Data Engineer,Orchard Media,remote,Competitive salary,16/01/2025,No,
1408,Data Scientist,Redbridge Telecom,Glasgow,Competitive salary,2026-03-29,Hybrid,Junior
1152,Insights Analyst,BrightPath Retail,WFH,"£28,000 - £35,000",26 Jan 2026,Yes,Junior
2,Data Analyst,Redbridge Telecom,Remote,£28k-£35k,30 Apr 2025,yes,Junior
1053,Data Engineer,Solstice Energy,Birmingham,£40k-£55k,2025-04-13,N/A,
1191,Data Scientist,Fenwick Insurance,Bristol,,07 Jul 2025,yes,
1449,Data Science Intern,Redbridge Telecom,Remote (UK),,09 Dec 2025,yes,Junior
453,Junior Data Scientist,Fenwick Insurance,Edinburgh,"£28,000 - £35,000",10/07/2025,No,Graduate
271,Data Scientist,Kestrel Logistics,Leeds,Competitive salary,2025-12-27,,
1117,Business Intelligence Analyst,Kestrel Logistics,Glasgow,"£85,000",2025-08-08,yes,Senior
339,Insights Analyst,Kestrel Logistics,Liverpool,"£31,500",2026-02-23,,Junior
29,Data Scientist II,Grove & Co,Glasgow,£40k-£55k,2026-05-11,yes,Mid
541,Data Analyst,Marlowe Consulting,"Manchester, UK","£75,000 - £95,000",16 Feb 2026,Hybrid,Senior
1700,,,,,,,
916,Business Intelligence Analyst,Ashford Digital,Remote (UK),"£31,500",13 May 2025,yes,Junior
1430,Data Scientist,Alderly Bank,london,"£83,000 - £103,000",26 Mar 2026,No,Senior
11,Analytics Consultant,Alderly Bank,Bristol,Competitive salary,08 Aug 2025,,Mid
1039,Analytics Consultant,Solstice Energy,Remote (UK),£32k-£42k,24/02/2026,Yes,Graduate
573,Data Scientist,Ashford Digital,Glasgow,,13/02/2026,yes,Senior
1393,Analytics Consultant,Orchard Media,Bristol,,15/10/2025,,Junior
972,Machine Learning Engineer,Vantage Health,Edinburgh,"£28,000 - £35,000",02 May 2025,yes,Graduate
1222,Insights Analyst,Orchard Media,london,£48k-£63k,03 May 2025,No,
849,Insights Analyst,Ashford Digital,Liverpool,"£32,000 - £42,000",25 Nov 2025,No,
442,Data Science Intern,Grove & Co,Birmingham,£40k-£55k,26/03/2025,Yes,
31,Data Scientist,Marlowe Consulting,Manchester,£28k-£35k,2025-07-26,yes,Junior
551,Junior Data Scientist,Solstice Energy,"Manchester, UK","£37,000",2025-12-19,Yes,Graduate
1264,Data Science Intern,Orchard Media,Remote,,2025-04-16,No,Mid
1193,Insights Analyst,Grove & Co,london,£36k-£43k,2026-03-13,Hybrid,Graduate
555,Insights Analyst,Grove & Co,Leeds,Competitive salary,10/08/2025,No,Senior
1024,Data Engineer,Kestrel Logistics,manchester,"£75,000 - £95,000",25 Jul 2025,Hybrid,Senior
138,Insights Analyst,Alderly Bank,Manchester,,02 Nov 2025,Hybrid,Senior
1024,Data Engineer,Kestrel Logistics,manchester,"£75,000 - £95,000",25 Jul 2025,Hybrid,Senior
530,Insights Analyst,Fenwick Insurance,Sheffield,,10 Oct 2025,,
638,Data Engineer,BrightPath Retail,Birmingham,"£37,000",20/03/2026,No,Graduate
1078,Data Analyst,Marlowe Consulting,Bristol,"£55,000 - £75,000",09/03/2025,yes,Mid
1147,Insights Analyst,Marlowe Consulting,Leeds,"£47,500",15 Apr 2025,N/A,Mid
930,Data Analyst,Redbridge Telecom,Sheffield,,23 Jun 2025,Yes,
47,Data Scientist,BrightPath Retail,Sheffield,,07 Nov 2025,Yes,Senior
129,Data Scientist,Ashford Digital,Edinburgh,£55k-£75k,14/03/2026,Yes,
722,Data Engineer,Redbridge Telecom,manchester,"£55,000 - £75,000",2025-02-07,yes,Senior
114,Junior Data Scientist,BrightPath Retail,Sheffield,,13 Apr 2026,No,Graduate
1368,Data Scientist II,Alderly Bank,Greater London,"£36,000 - £43,000",2025-09-08,Hybrid,Junior
1085,Data Scientist II,Kestrel Logistics,Greater London,"£45,000",22 Dec 2025,Yes,Graduate
750,Analytics Consultant,Ashford Digital,Leeds,"£85,000",2025-03-07,N/A,Senior
374,Data Analyst,Redbridge Telecom,Sheffield,"£28,000 - £35,000",12 Apr 2025,,Junior
1317,Data Analyst,Redbridge Telecom,Glasgow,"£31,500",04/08/2025,No,Junior
284,Data Scientist II,Solstice Energy,London,,09/03/2026,N/A,Mid
1310,Data Science Intern,Marlowe Consulting,Leeds,"£28,000 - £35,000",2025-04-15,No,Graduate
794,Machine Learning Engineer,BrightPath Retail,Liverpool,£32k-£42k,23/09/2025,Hybrid,Mid
1382,Machine Learning Engineer,Orchard Media,WFH,"£65,000",2026-04-13,Hybrid,
655,Data Scientist,BrightPath Retail,Bristol,"£75,000 - £95,000",24/01/2026,yes,Senior
1538,Data Engineer,Fenwick Insurance,london,,14/01/2025,N/A,
158,Data Scientist II,BrightPath Retail,Work from home,"£85,000",2026-02-03,Yes,Senior
368,Data Engineer,BrightPath Retail,Leeds,£28k-£35k,2025-02-24,,Graduate
508,Business Intelligence Analyst,Marlowe Consulting,Liverpool,,25 Apr 2025,N/A,Mid
219,Data Scientist,BrightPath Retail,Remote (UK),£40k-£55k,26/10/2025,Yes,
181,Machine Learning Engineer,Alderly Bank,Birmingham,£75k-£95k,24 Jan 2026,,Senior
666,Insights Analyst,Grove & Co,Edinburgh,"£31,500",2026-03-07,Hybrid,Junior
1158,Data Engineer,Grove & Co,Remote,"£40,000 - £55,000",2025-04-25,Hybrid,
1054,Junior Data Scientist,Kestrel Logistics,Bristol,£32k-£42k,10/02/2025,Yes,
1571,Insights Analyst,Grove & Co,Birmingham,"£47,500",25/01/2026,Yes,
1588,Machine Learning Engineer,Alderly Bank,Birmingham,£28k-£35k,25/10/2025,yes,Junior
669,Analytics Consultant,Vantage Health,Leeds,"£37,000",2026-02-06,No,Mid
1144,Machine Learning Engineer,Grove & Co,Sheffield,Competitive salary,16 May 2025,No,Senior
173,Data Scientist II,Marlowe Consulting,Liverpool,Competitive salary,2025-07-12,No,Senior
1501,Data Engineer,Fenwick Insurance,Glasgow,Competitive salary,2026-04-05,N/A,Graduate
1303,Data Science Intern,BrightPath Retail,Glasgow,Competitive salary,29 Dec 2025,N/A,
677,Insights Analyst,Kestrel Logistics,Birmingham,Competitive salary,2025-08-16,No,Senior
1045,Business Intelligence Analyst,Ashford Digital,Edinburgh,,20/04/2026,N/A,Senior
1138,Junior Data Scientist,Redbridge Telecom,Bristol,Competitive salary,01 Feb 2025,No,Senior
1088,Analytics Consultant,BrightPath Retail,Liverpool,£32k-£42k,18 Mar 2026,N/A,Mid
753,Data Analyst,Orchard Media,Liverpool,,2025-05-23,N/A,Mid
881,Analytics Consultant,Vantage Health,Birmingham,Competitive salary,07/08/2025,yes,Senior
1035,Data Analyst,Solstice Energy,Manchester,£28k-£35k,2025-03-06,No,Junior
1068,Data Engineer,Redbridge Telecom,Sheffield,,01 Dec 2025,yes,Senior
1374,Data Engineer,Vantage Health,Glasgow,,2025-05-25,No,
1421,Analytics Consultant,Orchard Media,LONDON,Competitive salary,2026-02-26,N/A,Senior
862,Data Science Intern,Vantage Health,Work from home,Competitive salary,02/04/2025,No,Mid
1476,Data Science Intern,Northwind Analytics,Bristol,Competitive salary,09/03/2025,yes,Mid
941,Analytics Consultant,Marlowe Consulting,Remote,,2025-11-21,Yes,
300,Junior Data Scientist,Vantage Health,Edinburgh,£40k-£55k,09/05/2026,Hybrid,
51,Data Science Intern,Grove & Co,Birmingham,"£37,000",2025-05-27,,
276,Data Engineer,Solstice Energy,Liverpool,,2025-08-24,N/A,Senior
197,Data Scientist,BrightPath Retail,Work from home,"£28,000 - £35,000",15 Mar 2025,N/A,Graduate
1369,Data Engineer,Vantage Health,Sheffield,,2025-06-01,N/A,
351,Data Scientist II,Fenwick Insurance,Remote (UK),,2026-01-09,Yes,Junior
516,Analytics Consultant,Alderly Bank,Leeds,£28k-£35k,2025-03-18,No,Graduate
334,Analytics Consultant,Vantage Health,Edinburgh,Competitive salary,13/03/2026,Hybrid,Senior
531,Junior Data Scientist,Fenwick Insurance,Liverpool,Competitive salary,26 Jun 2025,,Senior
1260,Data Scientist,Solstice Energy,Bristol,,10/01/2026,No,Junior
1044,Insights Analyst,BrightPath Retail,Remote,Competitive salary,2025-03-25,,Junior
252,Data Engineer,Redbridge Telecom,Liverpool,Competitive salary,2025-08-15,N/A,Mid
702,Data Engineer,Solstice Energy,"Manchester, UK",Competitive salary,28/01/2025,yes,Graduate
1526,Machine Learning Engineer,Fenwick Insurance,Glasgow,,27/04/2025,Hybrid,Mid
568,Business Intelligence Analyst,Solstice Energy,Birmingham,"£28,000 - £35,000",18 Jan 2025,Hybrid,Graduate
193,Data Science Intern,Ashford Digital,Glasgow,,21/12/2025,Hybrid,Senior
979,Data Engineer,Vantage Health,Birmingham,"£85,000",10 Mar 2026,No,Senior
1294,Data Analyst,Solstice Energy,Greater London,"£63,000 - £83,000",2026-04-20,Hybrid,
1232,Data Scientist II,Grove & Co,Bristol,Competitive salary,30/04/2026,No,
480,Insights Analyst,Solstice Energy,Leeds,£28k-£35k,31/05/2025,No,Graduate
1435,Data Science Intern,Fenwick Insurance,Bristol,"£75,000 - £95,000",2025-09-20,Hybrid,Senior
6,Data Scientist II,Vantage Health,Sheffield,"£28,000 - £35,000",24 Jan 2025,No,Graduate
591,Analytics Consultant,Vantage Health,Sheffield,,01/06/2025,yes,Junior
844,Analytics Consultant,Ashford Digital,Edinburgh,"£28,000 - £35,000",20 Dec 2025,No,Junior
1592,Data Scientist II,Alderly Bank,Bristol,£40k-£55k,2025-05-06,,
1173,Data Scientist II,Ashford Digital,Bristol,,05 Feb 2026,N/A,
232,Data Engineer,Marlowe Consulting,Edinburgh,"£37,000",2026-05-05,,Graduate
971,Data Science Intern,Marlowe Consulting,Edinburgh,£28k-£35k,29/08/2025,yes,Graduate
