posting_id,title,company,location,salary_min,salary_max,date_posted,remote,seniority,salary_mid
1503,Data Scientist II,Ashford Digital,Liverpool,,,2025-09-25,No,Junior,
1469,Business Intelligence Analyst,Vantage Health,London,,,2025-03-12,Hybrid,Mid,
565,Junior Data Scientist,Alderly Bank,London,48000.0,63000.0,2025-04-18,Unknown,Mid,55500.0
923,Junior Data Scientist,Marlowe Consulting,Birmingham,,,2026-03-18,Yes,Unspecified,
1111,Machine Learning Engineer,Northwind Analytics,Remote,47500.0,47500.0,2026-12-05,Hybrid,Unspecified,47500.0
548,Data Analyst,Grove & Co,Glasgow,,,2025-07-10,Hybrid,Graduate,
1311,Data Scientist,Fenwick Insurance,Remote (Uk),31500.0,31500.0,2025-04-05,Unknown,Graduate,31500.0
1474,Insights Analyst,BrightPath Retail,Glasgow,,,2025-07-09,Hybrid,Junior,
680,Data Analyst,Solstice Energy,Sheffield,32000.0,42000.0,2025-08-22,Unknown,Junior,37000.0
684,Data Analyst,Fenwick Insurance,Liverpool,,,2025-10-30,No,Senior,
315,Data Engineer,Kestrel Logistics,Bristol,,,2025-04-06,Hybrid,Graduate,
390,Data Scientist,Ashford Digital,Sheffield,28000.0,35000.0,2025-11-05,Yes,Graduate,31500.0
24,Machine Learning Engineer,Orchard Media,Remote,28000.0,35000.0,2025-07-26,Hybrid,Junior,31500.0
1022,Data Engineer,Grove & Co,Manchester,28000.0,35000.0,2025-01-23,Yes,Junior,31500.0
470,Analytics Consultant,Marlowe Consulting,Birmingham,,,2025-12-03,Yes,Mid,
785,Data Science Intern,Alderly Bank,Liverpool,28000.0,35000.0,2025-04-06,Hybrid,Graduate,31500.0
1449,Data Science Intern,Redbridge Telecom,Remote (Uk),,,2025-12-09,Yes,Junior,
160,Junior Data Scientist,Kestrel Logistics,Manchester,75000.0,95000.0,2025-05-11,Unknown,Senior,85000.0
1356,Data Engineer,Orchard Media,Sheffield,31500.0,31500.0,2025-06-24,Yes,Graduate,31500.0
216,Machine Learning Engineer,Kestrel Logistics,Glasgow,75000.0,95000.0,2025-03-14,Yes,Senior,85000.0
945,Data Scientist,Northwind Analytics,Glasgow,,,2025-06-29,No,Graduate,
5,Machine Learning Engineer,Fenwick Insurance,Sheffield,,,2025-03-05,Yes,Junior,
1012,Junior Data Scientist,Vantage Health,Liverpool,,,2025-07-30,Yes,Junior,
418,Data Scientist,Alderly Bank,Leeds,28000.0,35000.0,2025-08-22,Hybrid,Junior,31500.0
804,Business Intelligence Analyst,Alderly Bank,Liverpool,,,2026-03-12,Unknown,Junior,
1490,Data Scientist,Fenwick Insurance,Remote (Uk),55000.0,75000.0,2025-02-23,Hybrid,Unspecified,65000.0
1135,Data Analyst,Marlowe Consulting,Sheffield,75000.0,95000.0,2025-10-01,No,Senior,85000.0
709,Data Science Intern,Orchard Media,Leeds,,,2026-01-11,Yes,Mid,
712,Business Intelligence Analyst,Solstice Energy,Remote,28000.0,35000.0,2026-04-15,Unknown,Graduate,31500.0
1046,Data Engineer,Kestrel Logistics,Glasgow,55000.0,75000.0,2025-05-14,Unknown,Senior,65000.0
1189,Junior Data Scientist,Vantage Health,Birmingham,85000.0,85000.0,2025-02-15,No,Senior,85000.0
1238,Data Engineer,BrightPath Retail,Leeds,85000.0,85000.0,2025-04-03,Hybrid,Senior,85000.0
1082,Data Scientist II,Grove & Co,Edinburgh,55000.0,75000.0,2025-01-18,No,Mid,65000.0
607,Insights Analyst,Kestrel Logistics,Leeds,,,2025-07-24,No,Senior,
515,Data Scientist II,Orchard Media,Edinburgh,,,2025-01-04,No,Unspecified,
436,Machine Learning Engineer,Ashford Digital,Birmingham,40000.0,55000.0,2025-06-10,Yes,Unspecified,47500.0
665,Data Science Intern,Ashford Digital,London,,,2025-02-10,No,Senior,
1308,Junior Data Scientist,Fenwick Insurance,Manchester,55000.0,75000.0,2025-11-23,Yes,Unspecified,65000.0
443,Data Engineer,Kestrel Logistics,Birmingham,28000.0,35000.0,2025-07-07,Unknown,Junior,31500.0
558,Data Science Intern,BrightPath Retail,Birmingham,,,2026-03-06,Yes,Mid,
720,Data Scientist,Orchard Media,Remote,31500.0,31500.0,2025-04-02,Yes,Junior,31500.0
182,Analytics Consultant,Redbridge Telecom,London,36000.0,43000.0,2026-04-03,Yes,Junior,39500.0
151,Business Intelligence Analyst,Kestrel Logistics,Liverpool,75000.0,95000.0,2025-05-26,Unknown,Senior,85000.0
102,Data Science Intern,BrightPath Retail,Leeds,32000.0,42000.0,2025-09-13,Hybrid,Unspecified,37000.0
772,Junior Data Scientist,Ashford Digital,Liverpool,40000.0,55000.0,2025-03-24,Yes,Mid,47500.0
578,Data Engineer,Fenwick Insurance,London,36000.0,43000.0,2026-05-13,Hybrid,Junior,39500.0
533,Data Science Intern,Fenwick Insurance,Liverpool,55000.0,75000.0,2026-02-16,No,Mid,65000.0
1254,Data Engineer,Solstice Energy,Remote,37000.0,37000.0,2025-04-17,Yes,Unspecified,37000.0
249,Insights Analyst,Kestrel Logistics,Leeds,,,2026-01-18,Hybrid,Unspecified,
1244,Junior Data Scientist,Orchard Media,London,39500.0,39500.0,2025-11-27,Yes,Graduate,39500.0
928,Data Science Intern,Solstice Energy,Sheffield,37000.0,37000.0,2026-02-05,Unknown,Graduate,37000.0
913,Data Science Intern,Solstice Energy,Leeds,75000.0,95000.0,2026-03-28,Yes,Senior,85000.0
1186,Junior Data Scientist,Ashford Digital,Birmingham,47500.0,47500.0,2025-05-29,Yes,Unspecified,47500.0
357,Data Analyst,Kestrel Logistics,Liverpool,28000.0,35000.0,2025-01-24,Hybrid,Junior,31500.0
53,Junior Data Scientist,Grove & Co,Manchester,28000.0,35000.0,2026-02-24,Unknown,Graduate,31500.0
1558,Insights Analyst,Orchard Media,Glasgow,,,2025-08-14,Unknown,Unspecified,
1485,Data Engineer,Alderly Bank,Glasgow,85000.0,85000.0,2025-03-02,No,Senior,85000.0
1221,Data Scientist,Orchard Media,London,,,2025-12-29,Yes,Mid,
89,Data Analyst,Alderly Bank,Leeds,28000.0,35000.0,2025-01-02,Unknown,Graduate,31500.0
302,Data Analyst,Redbridge Telecom,Leeds,,,2026-04-28,No,Graduate,
1442,Business Intelligence Analyst,Redbridge Telecom,Remote (Uk),,,2025-03-27,Yes,Junior,
1578,Insights Analyst,Solstice Energy,Leeds,,,2025-10-15,Yes,Senior,
1273,Junior Data Scientist,Orchard Media,Leeds,75000.0,95000.0,2025-05-06,Unknown,Senior,85000.0
1599,Insights Analyst,Solstice Energy,Glasgow,28000.0,35000.0,2025-10-14,Yes,Junior,31500.0
227,Analytics Consultant,Ashford Digital,Sheffield,37000.0,37000.0,2025-06-19,Yes,Unspecified,37000.0
1128,Business Intelligence Analyst,Ashford Digital,Leeds,,,2025-02-01,Unknown,Senior,
836,Data Analyst,Alderly Bank,Leeds,,,2025-09-06,Unknown,Mid,
1502,Data Engineer,Fenwick Insurance,London,,,2025-02-04,Yes,Junior,
619,Data Analyst,Ashford Digital,London,39500.0,39500.0,2025-01-08,Unknown,Graduate,39500.0
57,Analytics Consultant,Alderly Bank,Glasgow,,,2025-08-17,Unknown,Unspecified,
429,Data Science Intern,Ashford Digital,London,39500.0,39500.0,2026-01-07,No,Graduate,39500.0
1113,Insights Analyst,Orchard Media,Leeds,,,2026-04-02,Unknown,Graduate,
1314,Data Scientist II,Vantage Health,Manchester,40000.0,55000.0,2025-11-04,Hybrid,Unspecified,47500.0
248,Analytics Consultant,Vantage Health,Birmingham,28000.0,35000.0,2025-11-24,Hybrid,Graduate,31500.0
435,Data Scientist,Alderly Bank,Birmingham,,,2026-04-03,No,Senior,
1072,Junior Data Scientist,Marlowe Consulting,Sheffield,32000.0,42000.0,2025-10-03,Hybrid,Junior,37000.0
1545,Insights Analyst,Northwind Analytics,Birmingham,55000.0,75000.0,2025-02-01,No,Mid,65000.0
672,Data Science Intern,Ashford Digital,Liverpool,28000.0,35000.0,2025-12-18,Yes,Junior,31500.0
1180,Data Analyst,Kestrel Logistics,Sheffield,,,2025-04-14,Yes,Senior,
439,Data Engineer,Ashford Digital,Edinburgh,75000.0,95000.0,2025-12-13,Unknown,Senior,85000.0
452,Business Intelligence Analyst,Fenwick Insurance,Edinburgh,28000.0,35000.0,2025-05-01,Unknown,Junior,31500.0
284,Data Scientist II,Solstice Energy,London,,,2026-03-09,Unknown,Mid,
1330,Insights Analyst,Solstice Energy,Bristol,,,2025-04-29,Unknown,Mid,
1047,Junior Data Scientist,Vantage Health,Leeds,28000.0,35000.0,2025-11-26,Unknown,Junior,31500.0
1129,Data Scientist,Vantage Health,Manchester,85000.0,85000.0,2025-12-31,No,Senior,85000.0
681,Analytics Consultant,Solstice Energy,Leeds,47500.0,47500.0,2025-07-20,Unknown,Mid,47500.0
1023,Data Analyst,Fenwick Insurance,Edinburgh,,,2025-07-22,Yes,Graduate,
1315,Data Scientist,Kestrel Logistics,Bristol,40000.0,55000.0,2026-03-23,Hybrid,Unspecified,47500.0
39,Data Scientist,Northwind Analytics,Edinburgh,,,2025-10-10,Unknown,Senior,
118,Business Intelligence Analyst,Ashford Digital,Bristol,40000.0,55000.0,2025-10-17,Unknown,Unspecified,47500.0
433,Business Intelligence Analyst,Redbridge Telecom,Bristol,32000.0,42000.0,2026-03-20,Yes,Junior,37000.0
571,Business Intelligence Analyst,Fenwick Insurance,Glasgow,37000.0,37000.0,2025-07-07,Hybrid,Junior,37000.0
737,Insights Analyst,Alderly Bank,Edinburgh,28000.0,35000.0,2026-01-23,No,Junior,31500.0
1461,Data Scientist II,Vantage Health,Birmingham,75000.0,95000.0,2025-08-17,Hybrid,Senior,85000.0
226,Junior Data Scientist,Orchard Media,Sheffield,,,2026-03-01,Yes,Graduate,
1583,Business Intelligence Analyst,Orchard Media,London,93000.0,93000.0,2025-06-30,Hybrid,Senior,93000.0
683,Analytics Consultant,Alderly Bank,Bristol,,,2025-02-22,Unknown,Graduate,
101,Analytics Consultant,BrightPath Retail,London,55500.0,55500.0,2025-10-10,Yes,Mid,55500.0
676,Data Scientist II,BrightPath Retail,Leeds,31500.0,31500.0,2025-03-14,Hybrid,Graduate,31500.0
238,Data Engineer,Northwind Analytics,Liverpool,32000.0,42000.0,2025-07-31,Unknown,Mid,37000.0
1443,Data Scientist II,Kestrel Logistics,Sheffield,40000.0,55000.0,2026-12-05,Hybrid,Mid,47500.0
775,Business Intelligence Analyst,BrightPath Retail,London,,,2026-04-21,No,Unspecified,
632,Insights Analyst,Alderly Bank,Edinburgh,28000.0,35000.0,2025-12-06,Unknown,Graduate,31500.0
1038,Insights Analyst,Solstice Energy,Leeds,37000.0,37000.0,2025-07-23,No,Unspecified,37000.0
776,Data Scientist,Ashford Digital,Liverpool,85000.0,85000.0,2026-05-12,Unknown,Senior,85000.0
914,Data Scientist,Marlowe Consulting,Edinburgh,40000.0,55000.0,2025-02-17,Yes,Mid,47500.0
77,Data Scientist,Marlowe Consulting,Leeds,,,2025-12-10,Unknown,Mid,
38,Machine Learning Engineer,Kestrel Logistics,Bristol,55000.0,75000.0,2025-11-21,Hybrid,Senior,65000.0
1518,Data Science Intern,Northwind Analytics,Remote,40000.0,55000.0,2026-05-15,Hybrid,Unspecified,47500.0
447,Data Science Intern,BrightPath Retail,Liverpool,55000.0,75000.0,2025-12-09,Yes,Senior,65000.0
466,Data Scientist,Fenwick Insurance,Edinburgh,28000.0,35000.0,2025-01-24,Unknown,Graduate,31500.0
274,Machine Learning Engineer,Fenwick Insurance,Remote,28000.0,35000.0,2025-01-09,Yes,Graduate,31500.0
1017,Junior Data Scientist,Alderly Bank,London,39500.0,39500.0,2025-03-05,Unknown,Junior,39500.0
1531,Insights Analyst,Solstice Energy,Sheffield,37000.0,37000.0,2025-08-27,Unknown,Junior,37000.0
1491,Insights Analyst,BrightPath Retail,Birmingham,40000.0,55000.0,2026-04-13,Unknown,Unspecified,47500.0
1142,Data Analyst,Alderly Bank,Leeds,31500.0,31500.0,2025-01-21,No,Graduate,31500.0
938,Junior Data Scientist,Northwind Analytics,Sheffield,32000.0,42000.0,2025-06-02,Yes,Mid,37000.0
724,Junior Data Scientist,Ashford Digital,Edinburgh,,,2025-12-29,Unknown,Graduate,
115,Data Engineer,Solstice Energy,Bristol,,,2026-04-07,Unknown,Senior,
818,Data Science Intern,Solstice Energy,Glasgow,,,2025-12-04,Unknown,Junior,
266,Data Science Intern,Marlowe Consulting,Edinburgh,47500.0,47500.0,2025-12-07,Yes,Unspecified,47500.0
552,Data Engineer,Orchard Media,Sheffield,,,2026-03-18,No,Senior,
826,Insights Analyst,Northwind Analytics,Edinburgh,37000.0,37000.0,2025-10-21,Unknown,Graduate,37000.0
1092,Data Scientist II,Solstice Energy,Birmingham,,,2025-10-03,No,Senior,
685,Insights Analyst,Kestrel Logistics,Liverpool,55000.0,75000.0,2025-06-24,Unknown,Unspecified,65000.0
400,Analytics Consultant,Alderly Bank,London,40000.0,50000.0,2025-05-31,Unknown,Junior,45000.0
1468,Data Engineer,Orchard Media,Bristol,,,2025-07-24,Unknown,Senior,
1451,Insights Analyst,Redbridge Telecom,Remote,,,2025-07-04,No,Mid,
1056,Data Analyst,Northwind Analytics,London,36000.0,43000.0,2025-04-19,Yes,Junior,39500.0
162,Machine Learning Engineer,Grove & Co,Edinburgh,,,2025-08-15,Hybrid,Unspecified,
1362,Junior Data Scientist,Ashford Digital,Birmingham,,,2025-10-31,Unknown,Mid,
974,Analytics Consultant,Ashford Digital,Glasgow,,,2025-06-03,Hybrid,Graduate,
1410,Data Scientist II,Marlowe Consulting,Leeds,28000.0,35000.0,2026-10-01,Hybrid,Graduate,31500.0
1296,Insights Analyst,BrightPath Retail,Remote,28000.0,35000.0,2026-02-24,Unknown,Junior,31500.0
1462,Data Scientist,Redbridge Telecom,Manchester,32000.0,42000.0,2025-03-31,Yes,Junior,37000.0
877,Data Science Intern,Ashford Digital,Bristol,65000.0,65000.0,2025-09-20,Unknown,Senior,65000.0
1388,Data Scientist II,Orchard Media,Glasgow,47500.0,47500.0,2025-01-13,Unknown,Mid,47500.0
112,Data Analyst,Solstice Energy,Birmingham,31500.0,31500.0,2026-12-02,Hybrid,Junior,31500.0
770,Data Scientist II,Marlowe Consulting,Glasgow,85000.0,85000.0,2025-03-29,No,Senior,85000.0
534,Analytics Consultant,Redbridge Telecom,Remote,28000.0,35000.0,2025-09-07,Yes,Junior,31500.0
861,Data Scientist,Fenwick Insurance,Leeds,55000.0,75000.0,2025-05-10,Yes,Senior,65000.0
1075,Analytics Consultant,Grove & Co,Leeds,75000.0,95000.0,2026-02-19,No,Senior,85000.0
545,Data Science Intern,Grove & Co,Edinburgh,,,2025-06-10,No,Graduate,
812,Data Engineer,Orchard Media,Glasgow,,,2025-07-02,Unknown,Graduate,
990,Junior Data Scientist,BrightPath Retail,Bristol,28000.0,35000.0,2025-10-26,Unknown,Graduate,31500.0
624,Machine Learning Engineer,BrightPath Retail,London,,,2025-09-18,Yes,Unspecified,
1131,Business Intelligence Analyst,Redbridge Telecom,Manchester,,,2025-07-06,Hybrid,Mid,
502,Data Analyst,Vantage Health,Sheffield,,,2025-08-19,Yes,Mid,
94,Data Analyst,Redbridge Telecom,London,83000.0,103000.0,2025-02-16,Unknown,Senior,93000.0
128,Data Scientist II,Orchard Media,Sheffield,,,2025-11-12,Hybrid,Unspecified,
1580,Insights Analyst,BrightPath Retail,Manchester,,,2026-01-03,Yes,Senior,
936,Data Scientist,Marlowe Consulting,Edinburgh,55000.0,75000.0,2025-02-20,No,Senior,65000.0
1224,Data Scientist,Grove & Co,Sheffield,,,2025-04-03,No,Junior,
1013,Machine Learning Engineer,BrightPath Retail,Manchester,,,2025-03-26,No,Senior,
980,Junior Data Scientist,Kestrel Logistics,London,63000.0,83000.0,2026-03-02,No,Senior,73000.0
1366,Data Analyst,Fenwick Insurance,Bristol,31500.0,31500.0,2025-09-07,No,Junior,31500.0
265,Junior Data Scientist,Grove & Co,Remote (Uk),37000.0,37000.0,2026-04-28,Unknown,Unspecified,37000.0
736,Data Science Intern,Fenwick Insurance,Manchester,31500.0,31500.0,2026-05-03,Yes,Graduate,31500.0
581,Data Scientist,Vantage Health,Remote,32000.0,42000.0,2025-04-09,Unknown,Graduate,37000.0
275,Insights Analyst,Redbridge Telecom,Remote,47500.0,47500.0,2025-04-28,Yes,Mid,47500.0
1411,Junior Data Scientist,Vantage Health,Sheffield,65000.0,65000.0,2025-10-22,Yes,Mid,65000.0
690,Junior Data Scientist,Grove & Co,Birmingham,,,2025-11-12,Unknown,Graduate,
59,Business Intelligence Analyst,Kestrel Logistics,Bristol,55000.0,75000.0,2025-03-19,Unknown,Senior,65000.0
842,Business Intelligence Analyst,Solstice Energy,Remote,,,2025-10-01,Unknown,Graduate,
1010,Machine Learning Engineer,Ashford Digital,Bristol,,,2025-08-05,Yes,Graduate,
703,Data Scientist,Solstice Energy,Glasgow,,,2025-06-30,Hybrid,Graduate,
1199,Machine Learning Engineer,Orchard Media,Glasgow,28000.0,35000.0,2026-05-03,Unknown,Junior,31500.0
262,Data Scientist,Kestrel Logistics,London,,,2025-04-22,No,Unspecified,
1235,Insights Analyst,BrightPath Retail,Sheffield,,,2025-06-30,Unknown,Unspecified,
1202,Business Intelligence Analyst,Alderly Bank,Leeds,,,2025-10-02,No,Unspecified,
1174,Data Scientist,Vantage Health,Manchester,,,2026-01-20,Yes,Junior,
1533,Data Science Intern,Northwind Analytics,Remote (Uk),,,2026-03-01,Yes,Senior,
998,Data Engineer,Orchard Media,Remote,,,2025-01-16,No,Unspecified,
1408,Data Scientist,Redbridge Telecom,Glasgow,,,2026-03-29,Hybrid,Junior,
1152,Insights Analyst,BrightPath Retail,Remote,28000.0,35000.0,2026-01-26,Yes,Junior,31500.0
2,Data Analyst,Redbridge Telecom,Remote,28000.0,35000.0,2025-04-30,Yes,Junior,31500.0
1053,Data Engineer,Solstice Energy,Birmingham,40000.0,55000.0,2025-04-13,Unknown,Unspecified,47500.0
1191,Data Scientist,Fenwick Insurance,Bristol,,,2025-07-07,Yes,Unspecified,
453,Junior Data Scientist,Fenwick Insurance,Edinburgh,28000.0,35000.0,2025-07-10,No,Graduate,31500.0
271,Data Scientist,Kestrel Logistics,Leeds,,,2025-12-27,Unknown,Unspecified,
1117,Business Intelligence Analyst,Kestrel Logistics,Glasgow,85000.0,85000.0,2025-08-08,Yes,Senior,85000.0
339,Insights Analyst,Kestrel Logistics,Liverpool,31500.0,31500.0,2026-02-23,Unknown,Junior,31500.0
29,Data Scientist II,Grove & Co,Glasgow,40000.0,55000.0,2026-11-05,Yes,Mid,47500.0
541,Data Analyst,Marlowe Consulting,Manchester,75000.0,95000.0,2026-02-16,Hybrid,Senior,85000.0
916,Business Intelligence Analyst,Ashford Digital,Remote (Uk),31500.0,31500.0,2025-05-13,Yes,Junior,31500.0
1430,Data Scientist,Alderly Bank,London,83000.0,103000.0,2026-03-26,No,Senior,93000.0
11,Analytics Consultant,Alderly Bank,Bristol,,,2025-08-08,Unknown,Mid,
1039,Analytics Consultant,Solstice Energy,Remote (Uk),32000.0,42000.0,2026-02-24,Yes,Graduate,37000.0
573,Data Scientist,Ashford Digital,Glasgow,,,2026-02-13,Yes,Senior,
1393,Analytics Consultant,Orchard Media,Bristol,,,2025-10-15,Unknown,Junior,
972,Machine Learning Engineer,Vantage Health,Edinburgh,28000.0,35000.0,2025-05-02,Yes,Graduate,31500.0
1222,Insights Analyst,Orchard Media,London,48000.0,63000.0,2025-05-03,No,Unspecified,55500.0
849,Insights Analyst,Ashford Digital,Liverpool,32000.0,42000.0,2025-11-25,No,Unspecified,37000.0
442,Data Science Intern,Grove & Co,Birmingham,40000.0,55000.0,2025-03-26,Yes,Unspecified,47500.0
31,Data Scientist,Marlowe Consulting,Manchester,28000.0,35000.0,2025-07-26,Yes,Junior,31500.0
551,Junior Data Scientist,Solstice Energy,Manchester,37000.0,37000.0,2025-12-19,Yes,Graduate,37000.0
1264,Data Science Intern,Orchard Media,Remote,,,2025-04-16,No,Mid,
1193,Insights Analyst,Grove & Co,London,36000.0,43000.0,2026-03-13,Hybrid,Graduate,39500.0
555,Insights Analyst,Grove & Co,Leeds,,,2025-08-10,No,Senior,
1024,Data Engineer,Kestrel Logistics,Manchester,75000.0,95000.0,2025-07-25,Hybrid,Senior,85000.0
138,Insights Analyst,Alderly Bank,Manchester,,,2025-11-02,Hybrid,Senior,
530,Insights Analyst,Fenwick Insurance,Sheffield,,,2025-10-10,Unknown,Unspecified,
638,Data Engineer,BrightPath Retail,Birmingham,37000.0,37000.0,2026-03-20,No,Graduate,37000.0
1078,Data Analyst,Marlowe Consulting,Bristol,55000.0,75000.0,2025-03-09,Yes,Mid,65000.0
1147,Insights Analyst,Marlowe Consulting,Leeds,47500.0,47500.0,2025-04-15,Unknown,Mid,47500.0
930,Data Analyst,Redbridge Telecom,Sheffield,,,2025-06-23,Yes,Unspecified,
47,Data Scientist,BrightPath Retail,Sheffield,,,2025-11-07,Yes,Senior,
129,Data Scientist,Ashford Digital,Edinburgh,55000.0,75000.0,2026-03-14,Yes,Unspecified,65000.0
722,Data Engineer,Redbridge Telecom,Manchester,55000.0,75000.0,2025-07-02,Yes,Senior,65000.0
114,Junior Data Scientist,BrightPath Retail,Sheffield,,,2026-04-13,No,Graduate,
1368,Data Scientist II,Alderly Bank,London,36000.0,43000.0,2025-08-09,Hybrid,Junior,39500.0
1085,Data Scientist II,Kestrel Logistics,London,45000.0,45000.0,2025-12-22,Yes,Graduate,45000.0
750,Analytics Consultant,Ashford Digital,Leeds,85000.0,85000.0,2025-07-03,Unknown,Senior,85000.0
374,Data Analyst,Redbridge Telecom,Sheffield,28000.0,35000.0,2025-04-12,Unknown,Junior,31500.0
1317,Data Analyst,Redbridge Telecom,Glasgow,31500.0,31500.0,2025-08-04,No,Junior,31500.0
1310,Data Science Intern,Marlowe Consulting,Leeds,28000.0,35000.0,2025-04-15,No,Graduate,31500.0
794,Machine Learning Engineer,BrightPath Retail,Liverpool,32000.0,42000.0,2025-09-23,Hybrid,Mid,37000.0
1382,Machine Learning Engineer,Orchard Media,Remote,65000.0,65000.0,2026-04-13,Hybrid,Unspecified,65000.0
655,Data Scientist,BrightPath Retail,Bristol,75000.0,95000.0,2026-01-24,Yes,Senior,85000.0
1538,Data Engineer,Fenwick Insurance,London,,,2025-01-14,Unknown,Unspecified,
158,Data Scientist II,BrightPath Retail,Remote,85000.0,85000.0,2026-03-02,Yes,Senior,85000.0
368,Data Engineer,BrightPath Retail,Leeds,28000.0,35000.0,2025-02-24,Unknown,Graduate,31500.0
508,Business Intelligence Analyst,Marlowe Consulting,Liverpool,,,2025-04-25,Unknown,Mid,
219,Data Scientist,BrightPath Retail,Remote (Uk),40000.0,55000.0,2025-10-26,Yes,Unspecified,47500.0
181,Machine Learning Engineer,Alderly Bank,Birmingham,75000.0,95000.0,2026-01-24,Unknown,Senior,85000.0
666,Insights Analyst,Grove & Co,Edinburgh,31500.0,31500.0,2026-07-03,Hybrid,Junior,31500.0
1158,Data Engineer,Grove & Co,Remote,40000.0,55000.0,2025-04-25,Hybrid,Unspecified,47500.0
1054,Junior Data Scientist,Kestrel Logistics,Bristol,32000.0,42000.0,2025-02-10,Yes,Unspecified,37000.0
1571,Insights Analyst,Grove & Co,Birmingham,47500.0,47500.0,2026-01-25,Yes,Unspecified,47500.0
1588,Machine Learning Engineer,Alderly Bank,Birmingham,28000.0,35000.0,2025-10-25,Yes,Junior,31500.0
669,Analytics Consultant,Vantage Health,Leeds,37000.0,37000.0,2026-06-02,No,Mid,37000.0
1144,Machine Learning Engineer,Grove & Co,Sheffield,,,2025-05-16,No,Senior,
173,Data Scientist II,Marlowe Consulting,Liverpool,,,2025-12-07,No,Senior,
1501,Data Engineer,Fenwick Insurance,Glasgow,,,2026-05-04,Unknown,Graduate,
1303,Data Science Intern,BrightPath Retail,Glasgow,,,2025-12-29,Unknown,Unspecified,
1045,Business Intelligence Analyst,Ashford Digital,Edinburgh,,,2026-04-20,Unknown,Senior,
1138,Junior Data Scientist,Redbridge Telecom,Bristol,,,2025-02-01,No,Senior,
1088,Analytics Consultant,BrightPath Retail,Liverpool,32000.0,42000.0,2026-03-18,Unknown,Mid,37000.0
753,Data Analyst,Orchard Media,Liverpool,,,2025-05-23,Unknown,Mid,
881,Analytics Consultant,Vantage Health,Birmingham,,,2025-08-07,Yes,Senior,
1035,Data Analyst,Solstice Energy,Manchester,28000.0,35000.0,2025-06-03,No,Junior,31500.0
1068,Data Engineer,Redbridge Telecom,Sheffield,,,2025-12-01,Yes,Senior,
1374,Data Engineer,Vantage Health,Glasgow,,,2025-05-25,No,Unspecified,
1421,Analytics Consultant,Orchard Media,London,,,2026-02-26,Unknown,Senior,
862,Data Science Intern,Vantage Health,Remote,,,2025-04-02,No,Mid,
1476,Data Science Intern,Northwind Analytics,Bristol,,,2025-03-09,Yes,Mid,
941,Analytics Consultant,Marlowe Consulting,Remote,,,2025-11-21,Yes,Unspecified,
300,Junior Data Scientist,Vantage Health,Edinburgh,40000.0,55000.0,2026-05-09,Hybrid,Unspecified,47500.0
51,Data Science Intern,Grove & Co,Birmingham,37000.0,37000.0,2025-05-27,Unknown,Unspecified,37000.0
276,Data Engineer,Solstice Energy,Liverpool,,,2025-08-24,Unknown,Senior,
197,Data Scientist,BrightPath Retail,Remote,28000.0,35000.0,2025-03-15,Unknown,Graduate,31500.0
1369,Data Engineer,Vantage Health,Sheffield,,,2025-01-06,Unknown,Unspecified,
351,Data Scientist II,Fenwick Insurance,Remote (Uk),,,2026-09-01,Yes,Junior,
516,Analytics Consultant,Alderly Bank,Leeds,28000.0,35000.0,2025-03-18,No,Graduate,31500.0
334,Analytics Consultant,Vantage Health,Edinburgh,,,2026-03-13,Hybrid,Senior,
